Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
Alabama,2021-01-02,365747,4872,202137,158738,1.3320683423240656
Alaska,2021-01-02,47019,206,7165,39615,0.4384284680543141
Arizona,2021-01-02,530267,9015,76934,444318,1.7000869373353424
Arkansas,2021-01-02,229442,3711,199247,26484,1.6174022192972517
California,2021-01-02,2365024,26357,NA,2309915,1.1251600354592777
Colorado,2021-01-02,337161,4873,18102,314186,1.4453035790023163
Connecticut,2021-01-02,185708,5995,9800,169913,3.2281861847631768
Delaware,2021-01-02,58064,1065,18851,38283,1.6016809038302562
District of Columbia,2021-01-02,29252,788,20941,7523,2.6938329003145083
Florida,2021-01-02,1323315,21673,NA,1301642,1.6377808760574768
Georgia,2021-01-02,677589,10958,NA,666631,1.6172045295894708
Hawaii,2021-01-02,22397,289,11958,9775,1.3123240395967668
Idaho,2021-01-02,141077,1436,58649,80992,1.0178838506631132
Illinois,2021-01-02,963389,17978,NA,945411,1.866120539055356
Indiana,2021-01-02,517773,9468,345474,163928,1.6167316565367449
Iowa,2021-01-02,282980,3898,241229,37853,1.3774825075977102
Kansas,2021-01-02,230108,2892,4612,222819,1.2470527956648416
Kentucky,2021-01-02,265261,2623,36740,225898,0.9888374091932096
Louisiana,2021-01-02,315275,7488,263712,44075,2.375069383871224
Maine,2021-01-02,24902,352,11374,13176,1.4135410810376676
Maryland,2021-01-02,280219,5942,9358,264919,2.1204843354661893
Massachusetts,2021-01-02,375178,12423,261672,101083,3.3112282703143574
Michigan,2021-01-02,528621,13018,318389,197214,2.4626339097387357
Minnesota,2021-01-02,415302,5382,397080,12840,1.2959244116329804
Mississippi,2021-01-02,218386,4816,167263,46307,2.2052695685620867
Missouri,2021-01-02,445019,5747,397080,4684,1.402042323861224
Montana,2021-01-02,81555,961,74991,5603,1.1783459015388391
Nebraska,2021-01-02,167716,1668,107694,58354,0.994538386319731
Nevada,2021-01-02,227046,3143,NA,223903,1.3843009786563076
New Hampshire,2021-01-02,45932,759,37350,5919,1.7239029708367402
New Jersey,2021-01-02,535043,19160,56109,407592,3.968015640111751
New Mexico,2021-01-02,144142,2502,66638,75002,1.7357883198512578
New York,2021-01-02,995816,37973,102968,854693,3.8315311262321554
North Carolina,2021-01-02,539545,6748,403488,129309,1.2506834462371073
North Dakota,2021-01-02,92770,1316,89314,2147,1.4110164924005606
Ohio,2021-01-02,700380,13746,556106,135312,1.279591079128473
Oklahoma,2021-01-02,291209,2489,255843,32604,0.8555146148981221
Oregon,2021-01-02,113909,1477,5870,106562,1.2966490795283954
Pennsylvania,2021-01-02,653260,16245,429017,206919,2.477414962022172
Rhode Island,2021-01-02,87949,1944,5381,80791,2.020489147119353
South Carolina,2021-01-02,307507,5296,151084,151127,1.7222372173641576
South Dakota,2021-01-02,99164,1488,91980,5696,1.5005445524585534
Tennessee,2021-01-02,586802,6907,508914,70981,1.1770580195704854
Texas,2021-01-02,1782956,28359,1435164,316178,1.5876084165217368
Utah,2021-01-02,276612,1269,224439,50904,0.4587653464057959
Vermont,2021-01-02,7412,136,4959,2317,1.834862385321101
Virginia,2021-01-02,354766,5081,30964,318721,1.4322116550063986
Washington,2021-01-02,246752,3461,NA,243291,1.402622876410323
West Virginia,2021-01-02,87820,1361,60316,26143,1.5497608745160556
Wisconsin,2021-01-02,522523,5254,450358,66911,1.0055059777272959
Wyoming,2021-01-02,44409,438,42570,1401,0.9862865635344188
Alabama,2021-01-03,369458,4872,202137,162449,1.3186884571453321
Alaska,2021-01-03,47821,215,7165,40421,0.4497813853266668
Arizona,2021-01-03,539150,9061,77867,452222,1.6806083650190111
Arkansas,2021-01-03,231442,3729,203701,24012,1.6112028067507194
California,2021-01-03,2415246,26591,NA,2362015,1.1112148464533191
Colorado,2021-01-03,339172,4912,18217,316043,1.4482327550623282
Connecticut,2021-01-03,190120,6099,9800,174221,3.20797391121397
Delaware,2021-01-03,58873,1072,18851,39092,1.5796714962716356
District of Columbia,2021-01-03,29509,792,21002,7715,2.683926937544478
Florida,2021-01-03,1354833,21890,NA,1332943,1.615697285200464
Georgia,2021-01-03,685122,10960,NA,674162,1.5997150872399368
Hawaii,2021-01-03,22448,289,11958,9934,1.3029169108696632
Idaho,2021-01-03,142199,1448,58649,82102,1.018291267871082
Illinois,2021-01-03,975352,18217,NA,957138,1.8674283745765632
Indiana,2021-01-03,523090,9562,347401,167279,1.6077539237989638
Iowa,2021-01-03,283895,3946,243214,36735,1.3899505098716074
Kansas,2021-01-03,230119,2893,4612,222830,1.2469932353222122
Kentucky,2021-01-03,273970,2698,37273,233999,0.9847793554038764
Louisiana,2021-01-03,315275,7488,263712,44075,2.375069383871224
Maine,2021-01-03,25245,358,11438,13449,1.4181025945731829
Maryland,2021-01-03,283171,5967,9374,267830,2.1072073058328717
Massachusetts,2021-01-03,384181,12502,261672,110007,3.2541952881584466
Michigan,2021-01-03,538121,13306,363611,161204,2.4726780779787445
Minnesota,2021-01-03,417832,5436,398199,14197,1.3010013593980356
Mississippi,2021-01-03,220277,4840,167263,48174,2.197233483296032
Missouri,2021-01-03,448387,5751,NA,404588,1.3933537246682346
Montana,2021-01-03,81944,971,75974,4999,1.1849555794200917
Nebraska,2021-01-03,168262,1669,109705,56888,0.9919054807383724
Nevada,2021-01-03,228871,3148,NA,225723,1.3659222361552847
New Hampshire,2021-01-03,46614,769,37947,6490,1.7011016236782728
New Jersey,2021-01-03,541202,19187,56575,412610,3.928767415003317
New Mexico,2021-01-03,145379,2534,67573,75272,1.7430302863549756
New York,2021-01-03,1011665,38093,103828,869564,3.783169329768253
North Carolina,2021-01-03,558437,6892,403488,148057,1.2341589113901836
North Dakota,2021-01-03,92891,1317,89582,1999,1.410255030089029
Ohio,2021-01-03,714673,13899,573641,132015,1.261695908478423
Oklahoma,2021-01-03,296343,2527,259841,33687,0.8535576159835165
Oregon,2021-01-03,116348,1492,5870,108986,1.282359817100423
Pennsylvania,2021-01-03,661901,16273,453531,190870,2.4492112991613437
Rhode Island,2021-01-03,87949,1957,5381,80791,2.020489147119353
South Carolina,2021-01-03,312718,5385,152535,154798,1.7219987336833824
South Dakota,2021-01-03,99829,1501,92595,5733,1.5035711065922728
Tennessee,2021-01-03,604132,6970,523089,74073,1.1537213721504571
Texas,2021-01-03,1801181,28442,1443061,322054,1.580080437011731
Utah,2021-01-03,281654,1294,230287,50073,0.4594289447336094
Vermont,2021-01-03,7689,139,5188,2362,1.807777344258031
Virginia,2021-01-03,358755,5117,31182,322456,1.4263215843681618
Washington,2021-01-03,246752,3461,NA,243291,1.402622876410323
West Virginia,2021-01-03,89327,1373,61120,26834,1.5370492684182837
Wisconsin,2021-01-03,523652,5256,452502,65894,1.0037200278047254
Wyoming,2021-01-03,44573,438,43037,1098,0.9826576627106096
Alabama,2021-01-04,371934,4873,202137,164924,1.3101786876166202
Alaska,2021-01-04,48118,215,7165,40718,0.4470040334317435
Arizona,2021-01-04,556384,9061,78690,468633,1.6285515039972394
Arkansas,2021-01-04,233475,3749,203701,26025,1.605739372523825
California,2021-01-04,2452262,26682,NA,2400292,1.0976006724545002
Colorado,2021-01-04,341250,4934,18305,318011,1.4458608058608058
Connecticut,2021-01-04,190120,6099,9800,174221,3.20797391121397
Delaware,2021-01-04,59484,1080,18851,39703,1.5634456324389752
District of Columbia,2021-01-04,29764,794,21072,7898,2.667652197285311
Florida,2021-01-04,1365436,21987,NA,1343449,1.6102548929426206
Georgia,2021-01-04,690900,10964,NA,679936,1.586915617310754
Hawaii,2021-01-04,22560,289,11958,10056,1.2957898040622338
Idaho,2021-01-04,142507,1448,60164,80895,1.0160904376627111
Illinois,2021-01-04,979821,18322,NA,961499,1.8699333857918947
Indiana,2021-01-04,526071,9625,348425,169171,1.6109992757631575
Iowa,2021-01-04,284715,3946,244021,36748,1.3859473508596316
Kansas,2021-01-04,230119,2893,4612,222830,1.2469932353222122
Kentucky,2021-01-04,276825,2723,37375,236727,0.9836539329901562
Louisiana,2021-01-04,321058,7537,263712,49809,2.347550909804459
Maine,2021-01-04,25592,359,11465,13768,1.4027821194123165
Maryland,2021-01-04,285319,5994,9378,269947,2.1008064657453587
Massachusetts,2021-01-04,387662,12610,261672,113380,3.252833654059464
Michigan,2021-01-04,538121,13306,363611,161204,2.4726780779787445
Minnesota,2021-01-04,420544,5489,403419,11636,1.3052141987520924
Mississippi,2021-01-04,222061,4871,167263,49927,2.193541414296072
Missouri,2021-01-04,451605,5770,NA,407102,1.3894069828843274
Montana,2021-01-04,82381,972,76501,4908,1.179883711049878
Nebraska,2021-01-04,169000,1672,105963,61365,0.9893491124260356
